Fecha,Departamento,Municipio,Evento,Fallecidos,Heridos,Familias,Viviendas Destruidas,Hectareas,Recursos Ejecutados,Valor Kit De Alimento,Valor Materiales De Construccion,Año,Mes
2019-03-06,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,16.0,0.0,0.0,0.0,2019,3
2019-03-15,CORDOBA,DEPARTAMENTO,SEQUIA,0,0,0,0,0.0,1503576250.0,1164150000.0,221170000.0,2019,3
2019-01-07,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,9.0,0.0,0.0,0.0,2019,1
2019-01-08,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0,2019,1
2019-01-11,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8.0,0.0,0.0,0.0,2019,1
2019-01-15,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,1
2019-01-17,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,18.0,0.0,0.0,0.0,2019,1
2019-01-22,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-22,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,1
2019-01-23,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0,2019,1
2019-01-26,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-30,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-02-01,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,2
2019-02-05,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,2
2019-02-19,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8.0,0.0,0.0,0.0,2019,2
2019-02-20,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0,2019,2
2019-02-23,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,2
2019-02-24,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0,2019,2
2019-02-24,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,2
2019-02-24,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,18.0,0.0,0.0,0.0,2019,2
2019-02-24,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,2
2019-03-16,VALLE DEL CAUCA,CALI,ACCIDENTE TRANSPORTE TERRESTRE,1,3,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-15,MAGDALENA,ZONA BANANERA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0,2019,3
2019-03-16,ANTIOQUIA,TURBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0,2019,3
2019-03-14,RISARALDA,SANTA ROSA DE CABAL,VENDAVAL,0,0,300,8,0.0,0.0,0.0,0.0,2019,3
2019-03-16,META,SAN CARLOS DE GUAROA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,35.0,0.0,0.0,0.0,2019,3
2019-03-16,LA GUAJIRA,MAICAO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-16,LA GUAJIRA,ALBANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,3
2019-03-16,LA GUAJIRA,MAICAO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,3
2019-01-02,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-09,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0,2019,1
2019-01-13,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,1
2019-01-17,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,1
2019-01-25,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,1
2019-01-31,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,500.0,0.0,0.0,0.0,2019,1
2019-02-01,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,2
